ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
6,3L13,L1,1,L,Before painting the contractors laid down a tarp on the couch in the,3,3
6,2M22,M2,2,M,To see the pretty horses we took the children to the zoo in,2,2
6,1H31,H3,3,H,After cutting down the tree all that was left was a stump,1,1
6,3L43,L4,4,L,They started filming a documentary about last year's drought in,3,3
6,2M52,M5,5,M,They didn't buy the convertible because the engine was too small,2,2
6,1H61,H6,6,H,Melissa was crying and we saw tears in her eyes which,1,1
6,3L73,L7,7,L,Laurence woke up early to make his own bread from,3,3
6,2M82,M8,8,M,The kid who was playing on the playground was very loud,2,2
6,1H91,H9,9,H,She brought an umbrella to protect her from the,1,1
6,3L103,L10,10,L,We heard that the remote island has no known cure for,3,3
6,2M112,M11,11,M,The owner of the Italian restaurant felt very proud of his,2,2
6,1H121,H12,12,H,Instead of the accelerator Maria stepped on the brake all,1,1
6,3L133,L13,13,L,Hamilton and his coworkers were chatting together after the long speech about,3,3
6,2M142,M14,14,M,The security experts were arresting a brilliant hacker living in,2,2
6,1H151,H15,15,H,There's no need to lie you can tell me the,1,1
6,3L163,L16,16,L,My wife said that she didn't like that kind of cake after,3,3
6,2M172,M17,17,M,For the student's daytrip he had forgotten to bring his lunch and,2,2
6,1H181,H18,18,H,Ben was great at remembering numbers because he had a good,1,1
6,3L193,L19,19,L,Bill checked outside but he didn't see the little pigs behind the,3,3
6,2M202,M20,20,M,The man walked into the forest carrying his axe that,2,2
6,1H211,H21,21,H,In a few weeks the butterfly will emerge from the cocoon,1,1
6,3L223,L22,22,L,When we were told we had to evacuate we listened to the pilot and,3,3
6,2M232,M23,23,M,The children weren't supposed to touch the stove in,2,2
6,1H241,H24,24,H,He bought the lettuce and croutons to make a,1,1
6,3L253,L25,25,L,I saw some steam coming out of the new iron in the,3,3
6,2M262,M26,26,M,The grocery store employee had to retrieve the cart near the,2,2
6,1H271,H27,27,H,On the mashed potatoes she poured a delicious gravy,1,1
6,3L283,L28,28,L,After the party the butler cleaned the floor because the boss,3,3
6,2M292,M29,29,M,The large jug held a lot of milk that,2,2
6,1H301,H30,30,H,The burgers were messy so he made sure to grab a napkin,1,1
6,3L313,L31,31,L,After their trip they replaced the battery in the old clock on the,3,3
6,2M322,M32,32,M,The premiere was starting and she had nothing to eat while,2,2
6,1H331,H33,33,H,Instead of a shower she decided to take a,1,1
6,3L343,L34,34,L,The crowd watched as the man picked up his racket and,3,3
6,2M352,M35,35,M,The waiter accidentally dropped her spoon and her bowl at,2,2
6,1H361,H36,36,H,At the ice cream shop Jen asked for both chocolate and vanilla which,1,1
6,3L373,L37,37,L,Ben was being so violent that he tried to smash the truck in the,3,3
6,2M382,M38,38,M,The marine biologist was studying a rare white shark in,2,2
6,1H391,H39,39,H,The wide highway downtown has more than six,1,1
6,3L403,L40,40,L,Her mother was adamant that she has to wear glasses in,3,3
6,2M412,M41,41,M,When the expert arrived he immediately checked the woman for a pulse and,2,2
6,1H421,H42,42,H,The wind couldn't push the boat because it had a tear in,1,1
6,3L433,L43,43,L,All of the fifth-graders had to get in a circle,3,3
6,2M442,M44,44,M,She always worked quickly and her tool was very sharp at,2,2
6,1H451,H45,45,H,When the company sued him he decided to hire a,1,1
6,3L463,L46,46,L,On their long vacation the family traveled to the south I,3,3
6,2M472,M47,47,M,Our pets sometimes ask us for treats by barking through,2,2
6,1H481,H48,48,H,The tooth fairy was supposed to leave money under her pillow,1,1
6,3L493,L49,49,L,After arriving at the campus he wanted to build some muscle real,3,3
6,2M502,M50,50,M,The referee saw the ball roll under the net in the high,2,2
6,1H511,H51,51,H,In the cartoon Bugs Bunny was munching on a carrot,1,1
6,3L523,L52,52,L,Emily had trouble finding the right color of yarn at the,3,3
6,2M532,M53,53,M,The girl had never danced before but she wanted to learn ballet from,2,2
6,1H541,H54,54,H,To educate the children they built a new school,1,1
6,3L553,L55,55,L,The woman at the store was buying the red balloon for the,3,3
6,2M562,M56,56,M,The waiter forgot to bring me my glass of wine,2,2
6,1H571,H57,57,H,To make sushi she carefully boiled the grains of rice,1,1
6,3L583,L58,58,L,After a three hour wait the men could see the plane on the,3,3
6,2M592,M59,59,M,The big kids always teased Jason because he was very short for,2,2
6,1H601,H60,60,H,The web had been spun by the large spider,1,1
6,3L613,L61,61,L,Jonathan was shocked that they decided to use the bomb made of,3,3
6,2M622,M62,62,M,My uncle planted lots of trees on his farm,2,2
6,1H631,H63,63,H,The child couldn't carry the luggage because it was too,1,1
6,3L643,L64,64,L,The lazy teenager didn't want to go to the wedding for some,3,3
6,2M652,M65,65,M,Susan had a lot of trouble understanding the end of the sentence in,2,2
6,1H661,H66,66,H,It was dark in the bedroom so she turned on the light,1,1
6,3L673,L67,67,L,Joan and her decorator decided to add a large tree in the front,3,3
6,2M682,M68,68,M,In all his chemistry classes the student used a lot of paper for,2,2
6,1H691,H69,69,H,He gathered the leaves into a pile using a rake,1,1
6,3L703,L70,70,L,The pair of thieves recently stole the ancient scroll from,3,3
6,2M712,M71,71,M,The unsuccessful student went to buy a new book at,2,2
6,1H721,H72,72,H,The referee was blowing on his whistle during,1,1
6,2L733,L73,73,L,The young boy had forgotten about his final wish from the,3,2
6,1M742,M74,74,M,For Halloween that year she decided to dress up as a witch,2,1
6,3H751,H75,75,H,The biologist knew that there were bats living in the cave,1,3
6,2L763,L76,76,L,The nanny reminded my sister to look after her teeth before,3,2
6,1M772,M77,77,M,My husband was flipping the pancakes and I was pouring the juice,2,1
6,3H781,H78,78,H,He made a dentist appointment to extract his broken tooth,1,3
6,2L793,L79,79,L,My roommate needed to learn more about the election that was weeks,3,2
6,1M802,M80,80,M,That weekend Brian got a nice looking haircut with,2,1
6,3H811,H81,81,H,Because Peter never told the truth everyone knew he was a liar,1,3
6,2L823,L82,82,L,Jack remembered that he needed to clean the oven at,3,2
6,1M832,M83,83,M,In countries with strict religious codes women aren't allowed to vote for,2,1
6,3H841,H84,84,H,The pill I just swallowed is stuck in my throat,1,3
6,2L853,L85,85,L,To prepare the next sample you should add a little bleach to the,3,2
6,1M862,M86,86,M,The skilled cave explorer remembered to bring his flashlight and a rope made,2,1
6,3H871,H87,87,H,Before proposing to his girlfriend he would need a ring with,1,3
6,2L883,L88,88,L,We saw the man walking barefoot across the lawn in front of his,3,2
6,1M892,M89,89,M,They needed to add more water to the heated pool,2,1
6,3H901,H90,90,H,During her painful headache she took a Tylenol to get some relief,1,3
6,2L913,L91,91,L,The supply cabinet had just run out of ink in the,3,2
6,1M922,M92,92,M,The farmer was waiting for the field to dry behind,2,1
6,3H931,H93,93,H,Late at the office Victor can always be found sitting at his desk,1,3
6,2L943,L94,94,L,We watched my nephew try to set up camp after the storm,3,2
6,1M952,M95,95,M,Somehow farmers were able to grow crops in the desert,2,1
6,3H961,H96,96,H,I asked the maid to change the sheets on the bed,1,3
6,2L973,L97,97,L,The shivering family was huddled in the shelter of a small igloo on a,3,2
6,1M982,M98,98,M,He visited the museum and he thought it was boring,2,1
6,3H991,H99,99,H,The bride covered her face with a veil,1,3
6,2L1003,L100,100,L,The young couple paid lots of money for the expensive vase made of,3,2
6,1M1012,M101,101,M,My roommate was hoping to build his own small business,2,1
6,3H1021,H102,102,H,Santa lands on the roof and comes down through the chimney,1,3
6,2L1033,L103,103,L,At security the guards needed to inspect his card,3,2
