ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
5,2M12,M1,1,M,They were worried that the cat would tear up the couch in,2,2
5,1H21,H2,2,H,To see the exotic animals we took the children to the zoo,1,1
5,3L33,L3,3,L,Behind the storage shed there were some dead branches and a stump beside the,3,3
5,2M42,M4,4,M,They mortgaged all their land after last year's drought,2,2
5,1H51,H5,5,H,They didn't rent the apartment because the kitchen was too,1,1
5,3L63,L6,6,L,Her new wallpaper was the same color as her eyes which which were bright,3,3
5,2M72,M7,7,M,Laurence needed some advice before baking his own bread,2,2
5,1H81,H8,8,H,I had to go inside because the jackhammer was very,1,1
5,3L93,L9,9,L,She arrived late because she got stuck in the rain and,3,3
5,2M102,M10,10,M,This danger is real and there is no known cure,2,2
5,1H111,H11,11,H,The parents of the awarded athlete felt very proud of,1,1
5,3L123,L12,12,L,We were surprised when Maria stepped on the brake all of a,3,3
5,2M132,M13,13,M,Hamilton didn't have the patience to sit through the long speech,2,2
5,1H141,H14,14,H,The passwords were stolen by a brilliant hacker living,1,1
5,3L153,L15,15,L,The police officer was unsure if he could find the truth about,3,3
5,2M162,M16,16,M,The hungry student decided to buy a small piece of cake,2,2
5,1H171,H17,17,H,He didn't eat breakfast and he forgot to pack his lunch,1,1
5,3L183,L18,18,L,Ben was always an excellent employee because he had a good memory since,3,3
5,2M192,M19,19,M,The farmer was raising cows and lots of little pigs behind,2,2
5,1H201,H20,20,H,The lumberjack chopped down the tree with his axe,1,1
5,3L213,L21,21,L,The biologist used the microscope to see inside of the cocoon made of,3,3
5,2M222,M22,22,M,When they arrived at their destination the passengers got to meet the pilot,2,2
5,1H231,H23,23,H,The hot pan was bubbling on the stove,1,1
5,3L243,L24,24,L,On the last day he decided to make a salad for,3,3
5,2M252,M25,25,M,I accidentally burned my hand while using the new iron in,2,2
5,1H261,H26,26,H,At Costco the toddler wanted to push the cart near,1,1
5,3L273,L27,27,L,The restaurant was famous for making a delicious gravy that tastes,3,3
5,2M282,M28,28,M,All the books were stacked on the floor because the,2,2
5,1H291,H29,29,H,The dairy cow produced a lot of milk,1,1
5,3L303,L30,30,L,When he was walking past the kitchen he accidentally dropped a napkin made of,3,3
5,2M312,M31,31,M,In the den they replaced the battery in the old clock on,2,2
5,1H321,H32,32,H,Her fridge was empty and she had nothing to eat,1,1
5,3L333,L33,33,L,That weekend their interior decorator helped them install a bath at,3,3
5,2M342,M34,34,M,While waiting for his partner the player grabbed his racket,2,2
5,1H351,H35,35,H,Jan poured the milk and cereal into her bowl,1,1
5,3L363,L36,36,L,He walked down to the supermarket to buy milk flour and vanilla which is his,3,3
5,2M372,M37,37,M,The fugitive hid from the police in the back of the truck in,2,2
5,1H381,H38,38,H,The swimmer was attacked by a great white shark,1,1
5,3L393,L39,39,L,The marathon runners will cross more than six lanes of,3,3
5,2M402,M40,40,M,She looks very different when she has to wear glasses,2,2
5,1H411,H41,41,H,When the paramedic arrived he checked the victim's wrist for a pulse,1,1
5,3L423,L42,42,L,The team had to work for hours to fix the tear in the sail,3,3
5,2M432,M43,43,M,The girl decided to arrange her dolls in a,2,2
5,1H441,H44,44,H,It could cut easily because the blade was very sharp,1,1
5,3L453,L45,45,L,When he crashed his car he decided to call a lawyer right,3,3
5,2M462,M46,46,M,The arrow on the compass was pointing to the south,2,2
5,1H471,H47,47,H,The neighborhood dog always kept her awake by barking,1,1
5,3L483,L48,48,L,When her wallet was missing she found it under her pillow in the,3,3
5,2M492,M49,49,M,The head of the cheerleading squad needed to build some muscle,2,2
5,1H501,H50,50,H,The volleyball shot barely made it over the net in the,1,1
5,3L513,L51,51,L,In the door of his refrigerator he found a carrot that looked,3,3
5,2M522,M52,52,M,The old woman was collecting different colors of yarn at,2,2
5,1H531,H53,53,H,The girl bought a pink tutu because she wanted to learn ballet,1,1
5,3L543,L54,54,L,After the horrible flood they built a new school by the,3,3
5,2M552,M55,55,M,It was her birthday so he bought the red balloon for,2,2
5,1H561,H56,56,H,At the vineyard he bought a fancy bottle of,1,1
5,3L573,L57,57,L,In the kitchen she accidentally spilled a bunch of rice on the,3,3
5,2M582,M58,58,M,After a three hour wait the passengers could see the plane on,2,2
5,1H591,H59,59,H,He couldn't reach the high shelf because he was very short,1,1
5,3L603,L60,60,L,My husband was trying to catch the large spider on our,3,3
5,2M612,M61,61,M,To destroy the building they decided to use the bomb made,2,2
5,1H621,H62,62,H,Old McDonald had plenty of animals on his,1,1
5,3L633,L63,63,L,The hikers didn't buy the tent because it was too heavy and,3,3
5,2M642,M64,64,M,Kathy decided not to invite her uncle to the wedding for,2,2
5,1H651,H65,65,H,Susan forgot to put a period at the end of the sentence,1,1
5,3L663,L66,66,L,You can damage your vision if you keep staring at the light in the,3,3
5,2M672,M67,67,M,The bicycle was swerving and crashed into a large tree in the,2,2
5,1H681,H68,68,H,The student opened his notebook and pulled out a piece of paper,1,1
