ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
2,2M12,M1,1,M,They were worried that the cat would tear up the couch in,2,2
2,3L23,L2,2,L,Jennifer asked a close friend if they could go to the zoo in San,3,3
2,1H31,H3,3,H,After cutting down the tree all that was left was a stump,1,1
2,2M42,M4,4,M,They mortgaged all their land after last year's drought,2,2
2,3L53,L5,5,L,She decided not to apply because the college was too small and,3,3
2,1H61,H6,6,H,Melissa was crying and we saw tears in her eyes which,1,1
2,2M72,M7,7,M,Laurence needed some advice before baking his own bread,2,2
2,3L83,L8,8,L,She saw her coworker at the bar who was very loud and,3,3
2,1H91,H9,9,H,She brought an umbrella to protect her from the,1,1
2,2M102,M10,10,M,This danger is real and there is no known cure,2,2
2,3L113,L11,11,L,After his final chemo treatment he felt very proud of his hard,3,3
2,1H121,H12,12,H,Instead of the accelerator Maria stepped on the brake all,1,1
2,2M132,M13,13,M,Hamilton didn't have the patience to sit through the long speech,2,2
2,3L143,L14,14,L,The software was designed by a brilliant hacker living in San,3,3
2,1H151,H15,15,H,There's no need to lie you can tell me the,1,1
2,2M162,M16,16,M,The hungry student decided to buy a small piece of cake,2,2
2,3L173,L17,17,L,He was late because he had to pick up his lunch and his,3,3
2,1H181,H18,18,H,Ben was great at remembering numbers because he had a good,1,1
2,2M192,M19,19,M,The farmer was raising cows and lots of little pigs behind,2,2
2,3L203,L20,20,L,My father scared away the burglars with his axe that looked,3,3
2,1H211,H21,21,H,In a few weeks the butterfly will emerge from the cocoon,1,1
2,2M222,M22,22,M,When they arrived at their destination the passengers got to meet the pilot,2,2
2,3L233,L23,23,L,Jan wasn't able to turn on the stove in the,3,3
2,1H241,H24,24,H,He bought the lettuce and croutons to make a,1,1
2,2M252,M25,25,M,I accidentally burned my hand while using the new iron in,2,2
2,3L263,L26,26,L,At work the assistant needed to find the cart near the tall,3,3
2,1H271,H27,27,H,On the mashed potatoes she poured a delicious gravy,1,1
2,2M282,M28,28,M,All the books were stacked on the floor because the,2,2
2,3L293,L29,29,L,The local farmers produced a lot of milk that looks,3,3
2,1H301,H30,30,H,The burgers were messy so he made sure to grab a napkin,1,1
2,2M312,M31,31,M,In the den they replaced the battery in the old clock on,2,2
2,3L323,L32,32,L,My cousin was bored and she had nothing to eat while she,3,3
2,1H331,H33,33,H,Instead of a shower she decided to take a,1,1
2,2M342,M34,34,M,While waiting for his partner the player grabbed his racket,2,2
2,3L353,L35,35,L,Jan was walking and she accidentally dropped her bowl at breakfast,3,3
2,1H361,H36,36,H,At the ice cream shop Jen asked for both chocolate and vanilla which,1,1
2,2M372,M37,37,M,The fugitive hid from the police in the back of the truck in,2,2
2,3L383,L38,38,L,Earlier the dock worker saw a beautiful white shark in the,3,3
2,1H391,H39,39,H,The wide highway downtown has more than six,1,1
2,2M402,M40,40,M,She looks very different when she has to wear glasses,2,2
2,3L413,L41,41,L,The detective arrived at the crime scene he looked for a pulse and called,3,3
2,1H421,H42,42,H,The wind couldn't push the boat because it had a tear in,1,1
2,2M432,M43,43,M,The girl decided to arrange her dolls in a,2,2
2,3L443,L44,44,L,His mom sternly warned him because it was very sharp at then,3,3
2,1H451,H45,45,H,When the company sued him he decided to hire a,1,1
2,2M462,M46,46,M,The arrow on the compass was pointing to the south,2,2
2,3L473,L47,47,L,They knew that Harry kept her awake by barking through the,3,3
2,1H481,H48,48,H,The tooth fairy was supposed to leave money under her pillow,1,1
2,2M492,M49,49,M,The head of the cheerleading squad needed to build some muscle,2,2
2,3L503,L50,50,L,Samantha and Karen suspected it was under the net in the high school,3,3
2,1H511,H51,51,H,In the cartoon Bugs Bunny was munching on a carrot,1,1
2,2M522,M52,52,M,The old woman was collecting different colors of yarn at,2,2
2,3L533,L53,53,L,The girl was extremely excited that she was going to learn ballet from an,3,3
2,1H541,H54,54,H,To educate the children they built a new school,1,1
2,2M552,M55,55,M,It was her birthday so he bought the red balloon for,2,2
2,3L563,L56,56,L,At the market he bought a new type of wine from,3,3
2,1H571,H57,57,H,To make sushi she carefully boiled the grains of rice,1,1
2,2M582,M58,58,M,After a three hour wait the passengers could see the plane on,2,2
2,3L593,L59,59,L,The parents were worried about Jason because he was very short for his,3,3
2,1H601,H60,60,H,The web had been spun by the large spider,1,1
2,2M612,M61,61,M,To destroy the building they decided to use the bomb made,2,2
2,3L623,L62,62,L,My uncle is installing solar panels on his farm in,3,3
2,1H631,H63,63,H,The child couldn't carry the luggage because it was too,1,1
2,2M642,M64,64,M,Kathy decided not to invite her uncle to the wedding for,2,2
2,3L653,L65,65,L,The substitute teacher was pretty impressed by the length of the sentence in the,3,3
2,1H661,H66,66,H,It was dark in the bedroom so she turned on the light,1,1
2,2M672,M67,67,M,The bicycle was swerving and crashed into a large tree in the,2,2
2,3L683,L68,68,L,The two researchers working in the clinical program needed lots of paper for taking,3,3
2,1H691,H69,69,H,He gathered the leaves into a pile using a rake,1,1
2,2M702,M70,70,M,While visiting court the priest read the ancient scroll,2,2
2,3L713,L71,71,L,The landlord who lived downstairs bought a new book at the,3,3
2,1H721,H72,72,H,The referee was blowing on his whistle during,1,1
2,1M732,M73,73,M,The king remembered that he had one final wish from,2,1
2,2L743,L74,74,L,She decided that she shouldn't write a children's story about a witch after,3,2
2,3H751,H75,75,H,The biologist knew that there were bats living in the cave,1,3
2,1M762,M76,76,M,Our mother told my sister to always clean her teeth,2,1
2,2L773,L77,77,L,The elderly man started to choke and sputter while drinking the juice at,3,2
2,3H781,H78,78,H,He made a dentist appointment to extract his broken tooth,1,3
2,1M792,M79,79,M,The senator's wife was very angry about the election that was,2,1
2,2L803,L80,80,L,We noticed Brian had a nice looking haircut with clean,3,2
2,3H811,H81,81,H,Because Peter never told the truth everyone knew he was a liar,1,3
2,1M822,M82,82,M,Jack remembered that he left something in the oven,2,1
2,2L833,L83,83,L,On some campuses many of the students don't want to vote for some,3,2
2,3H841,H84,84,H,The pill I just swallowed is stuck in my throat,1,3
2,1M852,M85,85,M,To kill all the bacteria you should add a little bleach to,2,1
2,2L863,L86,86,L,When Jeff went to the sports equipment store he bought a rope made of,3,2
2,3H871,H87,87,H,Before proposing to his girlfriend he would need a ring with,1,3
2,1M882,M88,88,M,We saw our neighbor was working on the lawn in front of,2,1
2,2L893,L89,89,L,The men said that I shouldn't approach the heated pool after,3,2
2,3H901,H90,90,H,During her painful headache she took a Tylenol to get some relief,1,3
2,1M912,M91,91,M,The famous writer had just run out of ink in,2,1
2,2L923,L92,92,L,The driver was waiting for the car to dry behind the,3,2
2,3H931,H93,93,H,Late at the office Victor can always be found sitting at his desk,1,3
2,1M942,M94,94,M,The cheerful woman hurried over to set up camp after the,2,1
2,2L953,L95,95,L,The young students learned some interesting facts about the desert in,3,2
2,3H961,H96,96,H,I asked the maid to change the sheets on the bed,1,3
2,1M972,M97,97,M,To get warm the two arctic explorers climbed inside a small igloo on,2,1
2,2L983,L98,98,L,He visited the catacombs and he thought it was boring and,3,2
2,3H991,H99,99,H,The bride covered her face with a veil,1,3
2,1M1002,M100,100,M,The collector of Chinese artifacts had just acquired the expensive vase made,2,1
2,2L1013,L101,101,L,They needed some land to build their own small business in,3,2
2,3H1021,H102,102,H,Santa lands on the roof and comes down through the chimney,1,3
2,1M1032,M103,103,M,Johnathan told the banker that he'd lost his,2,1
2,2L1043,L104,104,L,They decided not to go rafting because the river was too narrow and,3,2
2,3H1051,H105,105,H,The audience shouted 'boo!' until the actor walked off the stage,1,3
2,1M1062,M106,106,M,At Home Depot they didn't sell the right kind of paint for,2,1
2,2L1073,L107,107,L,At Costco she bought some crisp apples and lots of jelly made from,3,2
2,3H1081,H108,108,H,They were cutting the cake using a silver knife,1,3
2,1M1092,M109,109,M,Sarah arranged the items on the shelf in,2,1
2,2L1103,L110,110,L,Timmy listened to hear if the men would say grace around the,3,2
2,3H1111,H111,111,H,The old couple sat together without speaking a single word,1,3
2,1M1122,M112,112,M,My roommate needed some advice on how to remove the stain on,2,1
2,2L1133,L113,113,L,She was always rude and obnoxious around her teachers and sisters at,3,2
