ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
4,1H11,H1,1,H,Lauren turned on the TV and flopped down on the couch,1,1
4,3L23,L2,2,L,Jennifer asked a close friend if they could go to the zoo in San,3,3
4,2M32,M3,3,M,They had to hire the landscapers to help them remove a stump beside,2,2
4,1H41,H4,4,H,The lake had dried up after last year's,1,1
4,3L53,L5,5,L,She decided not to apply because the college was too small and,3,3
4,2M62,M6,6,M,During the checkup the doctor looked carefully into her eyes which were,2,2
4,1H71,H7,7,H,Laurence got some yeast to bake his own,1,1
4,3L83,L8,8,L,She saw her coworker at the bar who was very loud and,3,3
4,2M92,M9,9,M,She brought a jacket to protect her from the rain,2,2
4,1H101,H10,10,H,The disease is fatal as there is no known,1,1
4,3L113,L11,11,L,After his final chemo treatment he felt very proud of his hard,3,3
4,2M122,M12,12,M,My passengers jumped when I stepped on the brake all of,2,2
4,1H131,H13,13,H,The politician stood at the podium and gave a long,1,1
4,3L143,L14,14,L,The software was designed by a brilliant hacker living in San,3,3
4,2M152,M15,15,M,My friend at the office refused to tell me the truth,2,2
4,1H161,H16,16,H,The birthday boy didn't want frosting on his slice of,1,1
4,3L173,L17,17,L,He was late because he had to pick up his lunch and his,3,3
4,2M182,M18,18,M,Ben always did well in Biology because he had a good memory,2,2
4,1H191,H19,19,H,In the story the wolf chased the three little pigs,1,1
4,3L203,L20,20,L,My father scared away the burglars with his axe that looked,3,3
4,2M212,M21,21,M,The caterpillar was trying its best to escape from the cocoon made,2,2
4,1H221,H22,22,H,On the plane Timmy went up to the cockpit to meet the,1,1
4,3L233,L23,23,L,Jan wasn't able to turn on the stove in the,3,3
4,2M242,M24,24,M,For her lunch tomorrow she decided to make a salad,2,2
4,1H251,H25,25,H,I smoothed out the wrinkled pants with the new iron,1,1
4,3L263,L26,26,L,At work the assistant needed to find the cart near the tall,3,3
4,2M272,M27,27,M,She thickened the stock to make a delicious gravy that,2,2
4,1H281,H28,28,H,Before mopping he had to sweep the floor because,1,1
4,3L293,L29,29,L,The local farmers produced a lot of milk that looks,3,3
4,2M302,M30,30,M,At the diner the waitress had forgotten to bring him a napkin made,2,2
4,1H311,H31,31,H,Above the doorway he heard the ticking of the old clock,1,1
4,3L323,L32,32,L,My cousin was bored and she had nothing to eat while she,3,3
4,2M332,M33,33,M,To relax after work Bill decided to take a bath,2,2
4,1H341,H34,34,H,The tennis player firmly gripped the handle of his,1,1
4,3L353,L35,35,L,Jan was walking and she accidentally dropped her bowl at breakfast,3,3
4,2M362,M36,36,M,To add flavor to the frosting he added maple syrup and vanilla which is,2,2
