ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
1,1H11,H1,1,H,Lauren turned on the TV and flopped down on the couch,1,1
1,2M22,M2,2,M,To see the pretty horses we took the children to the zoo in,2,2
1,3L33,L3,3,L,Behind the storage shed there were some dead branches and a stump beside the,3,3
1,1H41,H4,4,H,The lake had dried up after last year's,1,1
1,2M52,M5,5,M,They didn't buy the convertible because the engine was too small,2,2
1,3L63,L6,6,L,Her new wallpaper was the same color as her eyes which which were bright,3,3
1,1H71,H7,7,H,Laurence got some yeast to bake his own,1,1
1,2M82,M8,8,M,The kid who was playing on the playground was very loud,2,2
1,3L93,L9,9,L,She arrived late because she got stuck in the rain and,3,3
1,1H101,H10,10,H,The disease is fatal as there is no known,1,1
1,2M112,M11,11,M,The owner of the Italian restaurant felt very proud of his,2,2
1,3L123,L12,12,L,We were surprised when Maria stepped on the brake all of a,3,3
1,1H131,H13,13,H,The politician stood at the podium and gave a long,1,1
1,2M142,M14,14,M,The security experts were arresting a brilliant hacker living in,2,2
1,3L153,L15,15,L,The police officer was unsure if he could find the truth about,3,3
1,1H161,H16,16,H,The birthday boy didn't want frosting on his slice of,1,1
1,2M172,M17,17,M,For the student's daytrip he had forgotten to bring his lunch and,2,2
1,3L183,L18,18,L,Ben was always an excellent employee because he had a good memory since,3,3
1,1H191,H19,19,H,In the story the wolf chased the three little pigs,1,1
1,2M202,M20,20,M,The man walked into the forest carrying his axe that,2,2
1,3L213,L21,21,L,The biologist used the microscope to see inside of the cocoon made of,3,3
1,1H221,H22,22,H,On the plane Timmy went up to the cockpit to meet the,1,1
1,2M232,M23,23,M,The children weren't supposed to touch the stove in,2,2
1,3L243,L24,24,L,On the last day he decided to make a salad for,3,3
1,1H251,H25,25,H,I smoothed out the wrinkled pants with the new iron,1,1
1,2M262,M26,26,M,The grocery store employee had to retrieve the cart near the,2,2
1,3L273,L27,27,L,The restaurant was famous for making a delicious gravy that tastes,3,3
1,1H281,H28,28,H,Before mopping he had to sweep the floor because,1,1
1,2M292,M29,29,M,The large jug held a lot of milk that,2,2
1,3L303,L30,30,L,When he was walking past the kitchen he accidentally dropped a napkin made of,3,3
1,1H311,H31,31,H,Above the doorway he heard the ticking of the old clock,1,1
1,2M322,M32,32,M,The premiere was starting and she had nothing to eat while,2,2
1,3L333,L33,33,L,That weekend their interior decorator helped them install a bath at,3,3
1,1H341,H34,34,H,The tennis player firmly gripped the handle of his,1,1
1,2M352,M35,35,M,The waiter accidentally dropped her spoon and her bowl at,2,2
1,3L363,L36,36,L,He walked down to the supermarket to buy milk flour and vanilla which is his,3,3
1,1H371,H37,37,H,Ben unloaded the bags of cement from the back of the truck,1,1
1,2M382,M38,38,M,The marine biologist was studying a rare white shark in,2,2
1,3L393,L39,39,L,The marathon runners will cross more than six lanes of,3,3
1,1H401,H40,40,H,Her vision was terrible and she has to wear,1,1
1,2M412,M41,41,M,When the expert arrived he immediately checked the woman for a pulse and,2,2
1,3L423,L42,42,L,The team had to work for hours to fix the tear in the sail,3,3
1,1H431,H43,43,H,At storytime the preschoolers have to sit in,1,1
1,2M442,M44,44,M,She always worked quickly and her tool was very sharp at,2,2
1,3L453,L45,45,L,When he crashed his car he decided to call a lawyer right,3,3
1,1H461,H46,46,H,Lines of longitude go from the north to the,1,1
1,2M472,M47,47,M,Our pets sometimes ask us for treats by barking through,2,2
1,3L483,L48,48,L,When her wallet was missing she found it under her pillow in the,3,3
1,1H491,H49,49,H,Before the weight lifting tournament he needed to build some,1,1
1,2M502,M50,50,M,The referee saw the ball roll under the net in the high,2,2
1,3L513,L51,51,L,In the door of his refrigerator he found a carrot that looked,3,3
1,1H521,H52,52,H,The kitten was playing with a ball of yarn,1,1
1,2M532,M53,53,M,The girl had never danced before but she wanted to learn ballet from,2,2
1,3L543,L54,54,L,After the horrible flood they built a new school by the,3,3
1,1H551,H55,55,H,The man used the helium to inflate the red balloon,1,1
1,2M562,M56,56,M,The waiter forgot to bring me my glass of wine,2,2
1,3L573,L57,57,L,In the kitchen she accidentally spilled a bunch of rice on the,3,3
1,1H581,H58,58,H,The airport was crowded and the passengers couldn't board the plane,1,1
1,2M592,M59,59,M,The big kids always teased Jason because he was very short for,2,2
1,3L603,L60,60,L,My husband was trying to catch the large spider on our,3,3
1,1H611,H61,61,H,Following his orders the terrorist threatened to drop the bomb,1,1
1,2M622,M62,62,M,My uncle planted lots of trees on his farm,2,2
1,3L633,L63,63,L,The hikers didn't buy the tent because it was too heavy and,3,3
1,1H641,H64,64,H,The bride refused to invite her father to the wedding,1,1
1,2M652,M65,65,M,Susan had a lot of trouble understanding the end of the sentence in,2,2
1,3L663,L66,66,L,You can damage your vision if you keep staring at the light in the,3,3
1,1H671,H67,67,H,The tiny maple sapling has grown into a large tree in,1,1
1,2M682,M68,68,M,In all his chemistry classes the student used a lot of paper for,2,2
1,3L693,L69,69,L,He tried to scare off the animal using a rake earlier this,3,3
1,1H701,H70,70,H,To read the prophecy he unrolled the ancient,1,1
1,2M712,M71,71,M,The unsuccessful student went to buy a new book at,2,2
1,3L723,L72,72,L,My brother remembered to bring his whistle during the soccer,3,3
1,3H731,H73,73,H,Then the genie granted his third and final wish,1,3
1,1M742,M74,74,M,For Halloween that year she decided to dress up as a witch,2,1
1,2L753,L75,75,L,The police knew that there were people living in the cave in the,3,2
1,3H761,H76,76,H,The dentist was teaching Emma how to clean her,1,3
1,1M772,M77,77,M,My husband was flipping the pancakes and I was pouring the juice,2,1
1,2L783,L78,78,L,After some discussion they decided to remove the broken tooth that was,3,2
1,3H791,H79,79,H,The senator campaigned in order to win the election that,1,3
1,1M802,M80,80,M,That weekend Brian got a nice looking haircut with,2,1
1,2L813,L81,81,L,When Peter got out of prison everyone knew he was a liar with real,3,2
1,3H821,H82,82,H,Jack forgot about the cookies baking in the,1,3
1,1M832,M83,83,M,In countries with strict religious codes women aren't allowed to vote for,2,1
1,2L843,L84,84,L,The doctor isn't able to do anything about my throat which is,3,2
1,3H851,H85,85,H,To wash your clothes whiter you should add a little bleach,1,3
1,1M862,M86,86,M,The skilled cave explorer remembered to bring his flashlight and a rope made,2,1
1,2L873,L87,87,L,After receiving her paycheck she wanted to buy a ring with a big,3,2
1,3H881,H88,88,H,The owner paid the children to mow the lawn in front,1,3
1,1M892,M89,89,M,They needed to add more water to the heated pool,2,1
1,2L903,L90,90,L,She decided they should take an extended vacation to get some relief like we,3,2
1,3H911,H91,91,H,His green pen had just run out of ink,1,3
1,1M922,M92,92,M,The farmer was waiting for the field to dry behind,2,1
1,2L933,L93,93,L,When I came home yesterday I saw that Victor was fixing his desk near the,3,2
1,3H941,H94,94,H,The boy scouts hurried back to set up camp after,1,3
1,1M952,M95,95,M,Somehow farmers were able to grow crops in the desert,2,1
1,2L963,L96,96,L,There was a large pile of dirty towels on the bed in the,3,2
1,3H971,H97,97,H,Using ice and snow the traditional Eskimo family built a small igloo,1,3
1,1M982,M98,98,M,He visited the museum and he thought it was boring,2,1
1,2L993,L99,99,L,The seamstress sewed two sheets and a veil made of,3,2
1,3H1001,H100,100,H,To display the roses Katie put them in an expensive vase,1,3
1,1M1012,M101,101,M,My roommate was hoping to build his own small business,2,1
1,2L1023,L102,102,L,Every Spring my family cleans out the basement and the chimney of the,3,2
1,3H1031,H103,103,H,The cashier asked the customer to swipe,1,3
1,1M1042,M104,104,M,They decided to use the elevator because the stairwell was too narrow,2,1
1,2L1053,L105,105,L,When we walked inside we all saw Johnathan on the stage all by,3,2
1,3H1061,H106,106,H,The artist dipped her brush into a fresh can of paint,1,3
1,1M1072,M107,107,M,Every Spring the farmers would make jam and lots of jelly made,2,1
1,2L1083,L108,108,L,When my grandfather died I inherited a silver knife that was,3,2
1,3H1091,H109,109,H,Sarah pulled the book off the shelf,1,3
1,1M1102,M110,110,M,The family wondered whether the visitors wanted to say grace around,2,1
1,2L1113,L111,111,L,During his stay the visitor only used a single word the entire,3,2
1,3H1121,H112,112,H,Even the professional dry cleaner wasn't able to remove the stain,1,3
1,1M1132,M113,113,M,She learned how to use makeup from her friends and sisters,2,1
1,2L1143,L114,114,L,The smugglers could not find a buyer for their tusks before,3,2
1,3H1151,H115,115,H,The website login asked for my username and password,1,3
1,1M1162,M116,116,M,He had a big date and he needed to buy a suit,2,1
1,2L1173,L117,117,L,The waiter recommended the seafood linguini or the baked potato that was,3,2
1,3H1181,H118,118,H,Gasoline usually costs about three dollars for,1,3
1,1M1192,M119,119,M,The customer left without finishing his last sip of coffee at,2,1
1,2L1203,L120,120,L,For her project she bought lots of black leather and tough,3,2
1,3H1211,H121,121,H,The birthday card was funny and made me,1,3
1,1M1222,M122,122,M,They weren't able to play Monopoly because they had lost the dice,2,1
1,2L1233,L123,123,L,He doesn't run very often because he hates getting wet,3,2
1,3H1241,H124,124,H,Maria thought she looked great in her little black,1,3
1,1M1252,M125,125,M,The elderly shepherd sold a large amount of wool that was,2,1
1,2L1263,L126,126,L,People always notice when I laugh or sneeze around other,3,2
1,3H1271,H127,127,H,For their anniversary in Seattle they booked a room at a nice,1,3
1,1M1282,M128,128,M,Emma bragged to her friends that she had gotten her first kiss on,2,1
1,2L1293,L129,129,L,She had to be interviewed by the lawyer and the doctor at the,3,2
1,3H1301,H130,130,H,The creature was either an octopus or a giant squid,1,3
1,1M1312,M131,131,M,On her eighteenth birthday her parents got her tickets see the band that,2,1
1,2L1323,L132,132,L,Over at the loading dock they needed a long hose with an,3,2
1,3H1331,H133,133,H,The soccer team celebrated after their player scored a goal,1,3
1,1M1342,M134,134,M,The janitor decided to purchase a new brand of,2,1
1,2L1353,L135,135,L,At the flea market in Sacramento he bought a small metal spoon with a long,3,2
1,3H1361,H136,136,H,For Halloween they were carving a large pumpkin at,1,3
1,1M1372,M137,137,M,To get some peace and quiet he went to the library down,2,1
1,2L1383,L138,138,L,Watson gathered up all the leaves in front of his,3,2
1,3H1391,H139,139,H,The doctor wore the sterile rubber gloves,1,3
1,1M1402,M140,140,M,The scientists were extracting the DNA from a cell in a,2,1
1,2L1413,L141,141,L,The drinks that they didn't finish made a big puddle on the,3,2
1,3H1421,H142,142,H,To keep the dough from sticking she dusted her hands with flour,1,3
